Compound  SmmetryNum  SymetGroup
B1F3  2  (P-1)
B1F3  14  (P21/c)
B1I3  176  (P63/m)
B1N1  42  (Fmm2)
B1N1  160  (R3m)
B1N1  136  (P42/mnm)
B1N1  62  (Pnma)
B1N1  8  (Cm)
B1N1  9  (Cc)
B1N1  14  (P21/c)
B1N1  187  (P-6m2)
B1N1  44  (Imm2)
B1N1  194  (P63/mmc)
B1N1  186  (P63mc)
B1N1  216  (F-43m)
B1P1  186  (P63mc)
B1P1  216  (F-43m)
B2F4  14  (P21/c)
B2O3  144  (P31)
B2O3  36  (Cmc21)
B2O3  152  (P3121)
B2S3  14  (P21/c)
B3V1  38  (Amm2)
B3V1  74  (Imma)
B6O1  166  (R-3m)
C3N4  62  (Pnma)
C3N4  58  (Pnnm)
C3O2  62  (Pnma)
C3P4  176  (P63/m)
C3S8  2  (P-1)
C5N4  161  (R3c)
C5V6  151  (P3112)
C6S8  14  (P21/c)
C7V8  212  (P4332)
C7Y4  14  (P21/c)
F1K1  221  (Pm-3m)
F1K1  225  (Fm-3m)
F1K1  216  (F-43m)
F2O1  62  (Pnma)
F3I1  62  (Pnma)
F3Y1  221  (Pm-3m)
F3Y1  62  (Pnma)
F3Y1  165  (P-3c1)
F4S1  19  (P212121)
F5I1  15  (C2/c)
F5P1  194  (P63/mmc)
F5V1  62  (Pnma)
F6S1  2  (P-1)
F6S1  164  (P-3m1)
F6S1  229  (Im-3m)
K2S2  189  (P-62m)
K2S3  36  (Cmc21)
K2S5  19  (P212121)
K2S6  14  (P21/c)
K3P1  194  (P63/mmc)
K4P6  69  (Fmmm)
K4P6  70  (Fddd)
N1S1  14  (P21/c)
N1Y1  194  (P63/mmc)
N1Y1  186  (P63mc)
N1Y1  225  (Fm-3m)
N1Y1  216  (F-43m)
N2O1  205  (Pa-3)
N2O3  19  (P212121)
N2O4  14  (P21/c)
N2O4  11  (P21/m)
N2O4  204  (Im-3)
N2O5  194  (P63/mmc)
N2S2  14  (P21/c)
N2S4  102  (P42nm)
N2U1  225  (Fm-3m)
N2W1  187  (P-6m2)
N2W1  194  (P63/mmc)
N4S4  60  (Pbcn)
N4S4  14  (P21/c)
O8P4  15  (C2/c)
O8U3  63  (Cmcm)
O8U3  38  (Amm2)
O8U3  21  (C222)
O8W3  21  (C222)
O9S3  33  (Pna21)
O9V4  62  (Pnma)
P1Y1  225  (Fm-3m)
P2S7  14  (P21/c)
P2S7  2  (P-1)
P2U1  107  (I4mm)
P2W1  12  (C2/m)
P2W1  36  (Cmc21)
P3V4  63  (Cmcm)
P4S3  62  (Pnma)
P4S4  15  (C2/c)
P4S5  11  (P21/m)
P4S5  4  (P21)
P4S6  11  (P21/m)
P4S7  14  (P21/c)
P4S9  14  (P21/c)
P5Y1  11  (P21/m)
S2U1  62  (Pnma)
S2W1  160  (R3m)
S2W1  194  (P63/mmc)
Am1I3  63  (Cmcm)
Am2O3  206  (Ia-3)
Am2O3  164  (P-3m1)
Am2O3  12  (C2/m)
As1B1  216  (F-43m)
As1B6  166  (R-3m)
As1F3  33  (Pna21)
As1F5  194  (P63/mmc)
As1I3  148  (R-3)
As1K1  19  (P212121)
As1K3  194  (P63/mmc)
As1N9  14  (P21/c)
As1S1  14  (P21/c)
As1S2  4  (P21)
As1V1  33  (Pna21)
As1Y1  225  (Fm-3m)
As2O3  86  (P42/n)
As2O3  27  (Pcc2)
As2O3  227  (Fd-3m)
As2O3  4  (P21)
As2O3  3  (P2)
As2O3  14  (P21/c)
As2O4  62  (Pnma)
As2O5  92  (P41212)
As2O5  19  (P212121)
Ba1F2  225  (Fm-3m)
Ba1I2  62  (Pnma)
Ba1I2  189  (P-62m)
Ba1I2  14  (P21/c)
Ba1N2  15  (C2/c)
Ba1N6  11  (P21/m)
Ba1O1  194  (P63/mmc)
Ba1O1  129  (P4/nmm)
Ba1O1  216  (F-43m)
Ba1O1  225  (Fm-3m)
Ba1O2  139  (I4/mmm)
Ba1O2  65  (Cmmm)
Ba1P2  14  (P21/c)
Ba1P3  14  (P21/c)
Ba1P3  12  (C2/m)
Ba1P8  2  (P-1)
Ba1S1  225  (Fm-3m)
Ba1S2  15  (C2/c)
Ba1S3  18  (P21212)
Ba1S3  113  (P-421m)
Ba2S3  109  (I41md)
Ba3P4  43  (Fdd2)
Ba5P4  62  (Pnma)
Ba5P4  64  (Cmce)
Be1F2  180  (P6222)
Br3P1  62  (Pnma)
Br4W1  12  (C2/m)
Br5P1  57  (Pbcm)
Br6W1  148  (R-3)
Br7P1  62  (Pnma)
C1Be2  225  (Fm-3m)
C1Cr1  186  (P63mc)
C1Fe3  182  (P6322)
C1Fe3  62  (Pnma)
C1Ge1  216  (F-43m)
C1Hf1  216  (F-43m)
C1Hf3  62  (Pnma)
C1Ho2  166  (R-3m)
C1Li2  64  (Cmce)
C1Li4  87  (I4/m)
C1Li6  166  (R-3m)
C1Mg2  225  (Fm-3m)
C1Mg2  62  (Pnma)
C1Mg2  194  (P63/mmc)
C1Mn6  227  (Fd-3m)
C1Mo1  186  (P63mc)
C1Nb2  162  (P-31m)
C1Os1  198  (P213)
C1Os1  216  (F-43m)
C1Pt1  216  (F-43m)
C3Al4  166  (R-3m)
C3As4  111  (P-42m)
C3As4  215  (P-43m)
C3B12  166  (R-3m)
C3Cr7  62  (Pnma)
C3Fe7  186  (P63mc)
C3Fe7  62  (Pnma)
C3La2  220  (I-43d)
C3Li2  63  (Cmcm)
C3Li4  12  (C2/m)
C3Li8  166  (R-3m)
C3Mg2  11  (P21/m)
C3Mg2  58  (Pnnm)
C3Mg2  12  (C2/m)
C3Mg2  62  (Pnma)
C3Mg2  61  (Pbca)
C3Os2  116  (P-4c2)
C3Sc4  220  (I-43d)
C5Ir4  116  (P-4c2)
C5Ti8  160  (R3m)
C5Zr6  151  (P3112)
C5Zr6  15  (C2/c)
C6Li1  71  (Immm)
C6Si1  35  (Cmm2)
C7Ir3  229  (Im-3m)
Ce1O2  136  (P42/mnm)
Ce1O2  225  (Fm-3m)
Ce1P5  11  (P21/m)
Ce1S1  39  (Aem2)
Ce1S2  33  (Pna21)
Ce1S2  62  (Pnma)
Ce2O3  150  (P321)
Ce2S3  62  (Pnma)
Cl1F1  14  (P21/c)
Cl1F3  62  (Pnma)
Cl1F3  14  (P21/c)
Cl1I1  14  (P21/c)
Cl1K1  141  (I41/amd)
Cl1K1  62  (Pnma)
Cl1K1  221  (Pm-3m)
Cl1K1  225  (Fm-3m)
Cl1K1  216  (F-43m)
Cl1N3  36  (Cmc21)
Cl1O2  61  (Pbca)
Cl1Y1  166  (R-3m)
Cl2O1  141  (I41/amd)
Cl2O6  9  (Cc)
Cl2O7  15  (C2/c)
Cl2S1  19  (P212121)
Cl2S2  43  (Fdd2)
Cs2S1  62  (Pnma)
Cs2S2  71  (Immm)
Cs2S3  36  (Cmc21)
Cs2S5  19  (P212121)
Cs2S6  2  (P-1)
Cs4P6  69  (Fmmm)
Cu1I1  186  (P63mc)
Cu1I1  156  (P3m1)
Cu1I1  129  (P4/nmm)
Cu1I1  63  (Cmcm)
Cu1I1  216  (F-43m)
Cu1N1  216  (F-43m)
Cu1N3  88  (I41/a)
Cu1N3  72  (Ibam)
Cu1N3  61  (Pbca)
Cu1N3  63  (Cmcm)
Cu1P2  14  (P21/c)
Cu2O1  134  (P42/nnm)
Cu2O1  224  (Pn-3m)
Cu2P7  12  (C2/m)
Cu2S1  96  (P43212)
Cu3N1  221  (Pm-3m)
Cu8O1  38  (Amm2)
Eu1F3  62  (Pnma)
Eu1N1  225  (Fm-3m)
F2Zn1  60  (Pbcn)
F2Zn1  136  (P42/mnm)
F3Ga1  167  (R-3c)
F3Ho1  62  (Pnma)
F3In1  167  (R-3c)
F3Ir1  167  (R-3c)
F3La1  182  (P6322)
F3La1  194  (P63/mmc)
F3La1  59  (Pmmn)
F3La1  71  (Immm)
F3La1  139  (I4/mmm)
F3La1  225  (Fm-3m)
F3La1  67  (Cmme)
F3La1  185  (P63cm)
F3La1  165  (P-3c1)
F3Pr1  165  (P-3c1)
F3Rh1  150  (P321)
F3Rh1  167  (R-3c)
F3Sb1  40  (Ama2)
F3Sc1  221  (Pm-3m)
F3Tb1  62  (Pnma)
F3Tl1  62  (Pnma)
F4Ge1  217  (I-43m)
F4Hf1  15  (C2/c)
F4Pb1  139  (I4/mmm)
Fe1S2  205  (Pa-3)
Fe2O3  167  (R-3c)
Fe2O3  60  (Pbcn)
Fe2O3  33  (Pna21)
Fe2O3  41  (Aea2)
Fe2O3  19  (P212121)
Fe2O3  1  (P1)
Fe2P1  44  (Imm2)
Fe2U1  227  (Fd-3m)
Fe3O2  6  (Pm)
Fe3O4  74  (Imma)
Fe3O4  26  (Pmc21)
Fe3O4  216  (F-43m)
Fe3O4  57  (Pbcm)
Fe3O4  10  (P2/m)
Fe3O4  13  (P2/c)
Fe3O4  63  (Cmcm)
Fe3O4  166  (R-3m)
Fe3O4  227  (Fd-3m)
Fe3O4  62  (Pnma)
Fe3O4  29  (Pca21)
Fe3S4  166  (R-3m)
Fe3S4  160  (R3m)
Fe3S4  227  (Fd-3m)
Ga1I3  14  (P21/c)
H1Na1  221  (Pm-3m)
H1Na1  225  (Fm-3m)
H1Rb1  225  (Fm-3m)
H10B4  14  (P21/c)
H10B6  36  (Cmc21)
H2Ba1  62  (Pnma)
H2Ba1  225  (Fm-3m)
H2Be1  72  (Ibam)
H2Be1  58  (Pnnm)
H2Ca1  194  (P63/mmc)
H2Ca1  62  (Pnma)
H2Ca1  225  (Fm-3m)
H2Cl1  15  (C2/c)
H2Mg1  62  (Pnma)
H2Mg1  29  (Pca21)
H2Mg1  61  (Pbca)
H2Mg1  205  (Pa-3)
H2Mg1  225  (Fm-3m)
H2Mg1  60  (Pbcn)
H2Mg1  136  (P42/mnm)
H2Mo1  186  (P63mc)
H2Sr1  62  (Pnma)
H2Sr1  194  (P63/mmc)
H2Sr1  225  (Fm-3m)
H2Ti1  136  (P42/mnm)
Hg1O2  61  (Pbca)
Hg1O2  12  (C2/m)
Hg1S1  225  (Fm-3m)
Hg1S1  152  (P3121)
Hg1S1  154  (P3221)
Hg2I2  139  (I4/mmm)
Hg2I4  137  (P42/nmc)
Hg2N6  14  (P21/c)
Hg3U1  194  (P63/mmc)
I1In1  63  (Cmcm)
I1Li1  194  (P63/mmc)
I1Li1  186  (P63mc)
I1Li1  225  (Fm-3m)
I1Na1  221  (Pm-3m)
I1Na1  225  (Fm-3m)
I1Na1  216  (F-43m)
I1Rb1  221  (Pm-3m)
I1Rb1  225  (Fm-3m)
I1Rb1  216  (F-43m)
I1Te1  12  (C2/m)
I1Te1  2  (P-1)
I1Te2  62  (Pnma)
I1Tl1  63  (Cmcm)
I1Tl1  225  (Fm-3m)
I1Tl1  221  (Pm-3m)
I5Nb1  2  (P-1)
I5Nb1  14  (P21/c)
I5Ta1  62  (Pnma)
I6In2  14  (P21/c)
I6Pt2  15  (C2/c)
I6Si2  62  (Pnma)
I6Si2  148  (R-3)
I8Nb3  166  (R-3m)
