Compound  SmmetryNum  SymetGroup
B1V1  63  (Cmcm)
B1W1  141  (I41/amd)
B1W1  141  (I41/amd)
B2O1  164  (P-3m1)
B2U1  191  (P6/mmm)
B2W1  194  (P63/mmc)
B2W1  59  (Pmmn)
B3V1  12  (C2/m)
B3V1  12  (C2/m)
B4U1  127  (P4/mbm)
B4U1  127  (P4/mbm)
B4Y1  127  (P4/mbm)
B4Y1  127  (P4/mbm)
C1V2  164  (P-3m1)
C1V2  60  (Pbcn)
C1W1  225  (Fm-3m)
C1W1  194  (P63/mmc)
C1W1  194  (P63/mmc)
C1W1  225  (Fm-3m)
C1W2  164  (P-3m1)
C1W2  60  (Pbcn)
C1W2  58  (Pnnm)
C3U2  220  (I-43d)
C3Y2  220  (I-43d)
C5B1  2  (P-1)
C5Y4  55  (Pbam)
F5U1  122  (I-42d)
H1N2  14  (P21/c)
H1V1  225  (Fm-3m)
H1V2  141  (I41/amd)
H2W1  62  (Pnma)
H3Y1  63  (Cmcm)
H3Y1  165  (P-3c1)
H6W1  12  (C2/m)
H6W1  12  (C2/m)
K1N3  12  (C2/m)
K3N1  193  (P63/mcm)
N1S1  14  (P21/c)
N1Y1  187  (P-6m2)
N1Y1  221  (Pm-3m)
N2O2  14  (P21/c)
N2W1  166  (R-3m)
N2W1  205  (Pa-3)
N2W3  166  (R-3m)
O2U1  61  (Pbca)
O2U1  225  (Fm-3m)
O2V1  2  (P-1)
O2V1  10  (P2/m)
O2V1  12  (C2/m)
O2V1  12  (C2/m)
O2V1  10  (P2/m)
O2W1  14  (P21/c)
O3V2  15  (C2/c)
O3V2  15  (C2/c)
O3V2  167  (R-3c)
O3V2  167  (R-3c)
O5V3  13  (P2/c)
O7V4  2  (P-1)
O7V4  2  (P-1)
O7V4  2  (P-1)
O8U3  63  (Cmcm)
O8U3  189  (P-62m)
O8W3  55  (Pbam)
O9V4  63  (Cmcm)
O9V5  2  (P-1)
O9V5  2  (P-1)
O9V5  2  (P-1)
O9V5  2  (P-1)
P1W3  82  (I-4)
P2U1  129  (P4/nmm)
P2V1  12  (C2/m)
P2V1  12  (C2/m)
S1V3  121  (I-42m)
S2U1  62  (Pnma)
S3U1  11  (P21/m)
S3U2  62  (Pnma)
Ag1N1  216  (F-43m)
Ag2F5  2  (P-1)
Ag2O1  164  (P-3m1)
Ag6O2  162  (P-31m)
Al1V3  225  (Fm-3m)
Al1Y1  221  (Pm-3m)
Al1Y1  63  (Cmcm)
Al1Y1  63  (Cmcm)
Al1Y1  63  (Cmcm)
Al1Y1  139  (I4/mmm)
Al2O1  225  (Fm-3m)
Al2Y3  136  (P42/mnm)
Al4U1  74  (Imma)
Am1B4  127  (P4/mbm)
Am1N1  225  (Fm-3m)
Am1P1  225  (Fm-3m)
As1V1  62  (Pnma)
As1V3  223  (Pm-3n)
As2U1  129  (P4/nmm)
As2U1  62  (Pnma)
As2V1  12  (C2/m)
As3V4  12  (C2/m)
As3W2  12  (C2/m)
Au1O1  14  (P21/c)
Au1Y1  63  (Cmcm)
Au2P3  12  (C2/m)
Au2U1  191  (P6/mmm)
Au3Y1  59  (Pmmn)
B1Co3  62  (Pnma)
B1Co3  62  (Pnma)
B1Cr2  70  (Fddd)
B1Fe3  82  (I-4)
B1Li1  51  (Pmma)
B1Mn1  62  (Pnma)
B1Nb1  63  (Cmcm)
B1Re3  63  (Cmcm)
B1Rh1  63  (Cmcm)
B1Ta1  63  (Cmcm)
B1Tc1  187  (P-6m2)
B1Tc3  63  (Cmcm)
B2Ba1  191  (P6/mmm)
B2Dy1  191  (P6/mmm)
B2Fe1  74  (Imma)
B2Gd1  191  (P6/mmm)
B2Hf1  191  (P6/mmm)
B2Mo1  166  (R-3m)
B2Mo1  166  (R-3m)
B2Mo1  59  (Pmmn)
B2Os1  59  (Pmmn)
B2Pd5  15  (C2/c)
B2Ru1  59  (Pmmn)
B2Sr1  191  (P6/mmm)
B2Ti1  191  (P6/mmm)
B2Yb1  191  (P6/mmm)
B2Zr1  191  (P6/mmm)
B3Nb1  119  (I-4m2)
